,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity
29/4/2020 4:00,64.28,88.2,99.53,27,47.82,5.76,69.3189,13.0503,10.365,12.53,86.66
29/4/2020 21:30,65.4,90.765,99.935,27.38,49.6,6.0701,70.44,13.04,10.79,12.63,86.6801
29/4/2020 22:00,65.09,91.17,100.17,27.03,49.5773,6.11,70.44,13.56,10.77,12.66,86.68
29/4/2020 22:30,65.31,91.12,99.97,27.1493,49.437,6.2108,70.44,13.75,10.94,12.7,86.677
29/4/2020 23:00,65.6,91.28,99.88,27.26,49.5,6.2449,69.09,13.8499,10.94,12.65,86.675
29/4/2020 23:30,65.64,91.22,100.37,27.34,49.7169,6.18,69.09,13.7705,10.87,12.645,86.665
30/4/2020 0:00,65.73,91.49,100.585,27.39,49.8,6.18,70.232,13.8099,10.95,12.64,86.67
30/4/2020 0:30,66,91.54,100.59,27.44,49.9,6.23,70.232,13.81,11,12.6312,86.6718
30/4/2020 1:00,66.0401,91.5,100.61,27.43,50.002,6.21,70.232,13.94,10.953,12.64,86.675
30/4/2020 1:30,65.6977,91.55,100.6,27.31,49.7301,6.1599,70.232,13.9,10.93,12.64,86.6637
30/4/2020 2:00,65.74,91.42,100.46,27.225,49.6481,6.2,70.4323,13.915,10.95,12.64,86.6699
30/4/2020 2:30,65.84,91.76,100.58,27.25,50.0244,6.27,70.4323,13.915,10.93,12.62,86.66
30/4/2020 3:00,65.88,92.1,100.89,27.348,49.9032,6.385,70.4323,13.94,10.8825,12.63,86.665
30/4/2020 3:30,65.39,91.82,100.19,27.12,49.73,6.445,70.4323,13.96,10.97,12.6,86.65
30/4/2020 4:00,65.51,91.82,100.19,27.12,49.73,6.445,70.3403,13.96,10.97,12.6,86.65
30/4/2020 21:30,64.235,91.76,99.52,26.46,48.71,6.47,69.1,13.6391,10.74,12.4759,86.675
30/4/2020 22:00,64.56,91.78,100.16,26.5379,48.6401,6.525,68.7914,13.95,10.81,12.51,86.6701
30/4/2020 22:30,64.445,91.52,100.145,26.47,48.6722,6.46,68.7914,14.0475,10.745,12.52,86.68
30/4/2020 23:00,64.21,91.57,100.12,26.35,48.5,6.46,68.7914,14.0573,10.679,12.52,86.69
30/4/2020 23:30,64.0375,91.12,99.68,26.27,48.39,6.4299,68.7736,13.9465,10.6312,12.52,86.7011
1/5/2020 0:00,63.875,90.883,99.565,26.21,48.12,6.3815,68.7736,13.8575,10.6453,12.52,86.695
1/5/2020 0:30,64.21,91.27,99.7,26.38,48.3193,6.3801,68.7736,13.825,10.7,12.51,86.698
1/5/2020 1:00,64.11,91.24,99.72,26.36,48.22,6.31,68.2456,13.7736,10.7,12.51,86.685
1/5/2020 1:30,64.03,91.18,99.29,26.31,48.05,6.33,68.2456,13.7773,10.69,12.51,86.685
1/5/2020 2:00,64.15,91.39,99.54,26.25,48.18,6.41,67.9745,13.7773,10.674,12.51,86.685
1/5/2020 2:30,64.0575,91.08,99.32,26.245,48.18,6.4621,67.9745,13.79,10.729,12.51,86.68
1/5/2020 3:00,64.32,91.535,99.775,26.421,48.275,6.4344,67.9745,13.79,10.7266,12.525,86.665
1/5/2020 3:30,64.21,91.41,99.73,26.31,48.04,6.47,67.9745,13.79,10.78,12.48,86.8
1/5/2020 4:00,64.21,91.41,99.73,26.31,48.04,6.47,67.9507,13.79,10.78,12.48,86.8
1/5/2020 21:30,62.52,90.2,98.09,25.6619,46.2401,6.04,67.9507,13.1,10.259,12.43,86.59
1/5/2020 22:00,62.38,90.14,98.005,25.6659,46.285,6.07,67.9507,13.06,10.2684,12.38,86.595
1/5/2020 22:30,62.47,90.39,97.87,25.74,46.4425,6.16,67.9507,13.06,10.37,12.3962,86.59
1/5/2020 23:00,62.18,89.87,97.68,25.59,46.38,6.07,67.9507,13.22,10.359,12.385,86.595
1/5/2020 23:30,62,89.33,97.4,25.51,46.11,5.89,67.9507,13.14,10.23,12.3799,86.6041
2/5/2020 0:00,62.055,89.14,97.22,25.53,46.369,5.9471,67.9507,13.28,10.28,12.38,86.605
2/5/2020 0:30,62.13,88.97,97.25,25.59,46.23,5.95,67.9507,13.21,10.24,12.38,86.605
2/5/2020 1:00,62.31,88.92,97.175,25.53,46.28,6,67.9507,13.19,10.21,12.36,86.605
2/5/2020 1:30,62.1169,88.85,97.2,25.5281,46.25,5.94,67.9507,13.18,10.269,12.38,86.595
2/5/2020 2:00,62.25,89.06,97.33,25.62,46.3346,5.9701,67.9507,13.19,10.3048,12.3665,86.595
2/5/2020 2:30,62.24,89.09,97.38,25.59,46.3899,5.9399,67.9507,13.15,10.31,12.38,86.585
2/5/2020 3:00,62.29,89.015,97.583,25.5834,46.3161,5.922,67.9507,13.13,10.315,12.38,86.5937
2/5/2020 3:30,62.27,88.9,97.83,25.61,46.43,5.93,67.9507,13.2,10.28,12.34,86.6
2/5/2020 4:00,62.27,88.9,97.83,25.61,46.43,5.93,67.9507,13.2,10.28,12.34,86.6
4/5/2020 21:30,61,88.81,97.41,25.38,45.215,6.02,65.9675,13.2,10.0553,12.34,86.6
4/5/2020 22:00,60.98,89.13,97.04,25.3774,45.6558,6.077,66.16,13.23,10.16,12.31,86.6085
4/5/2020 22:30,60.67,89.13,97,25.38,45.37,6.05,66.16,13.23,10.085,12.32,86.61
4/5/2020 23:00,60.68,89.29,97.21,25.4,45.0728,5.9976,66.16,13.19,10.0119,12.29,86.61
4/5/2020 23:30,60.71,89.52,97.34,25.45,45.1006,5.98,66.16,13.11,10,12.31,86.615
5/5/2020 0:00,61.125,89.41,97.39,25.495,45.26,6.035,66.16,13.11,10.02,12.33,86.609
5/5/2020 0:30,61.0991,89,97.06,25.41,45.172,6.045,66.16,13.11,10.01,12.31,86.605
5/5/2020 1:00,60.95,88.94,97.125,25.42,45.06,5.99,66.16,13.13,9.9,12.31,86.615
5/5/2020 1:30,60.98,89.27,97.285,25.53,45.26,6.0299,66.16,13.0229,9.9734,12.33,86.6174
5/5/2020 2:00,60.965,89.25,97.27,25.47,45.16,6.0433,66.16,13.0229,9.99,12.32,86.61
5/5/2020 2:30,61.16,89.58,97.5,25.54,45.25,6.08,66.16,13.0229,9.9573,12.32,86.61
5/5/2020 3:00,61.28,89.84,97.81,25.64,45.45,6.18,66.16,13.21,10.0311,12.325,86.615
5/5/2020 3:30,61.48,90.08,97.78,25.69,45.66,6.26,66.16,13.31,10.04,12.32,86.6
5/5/2020 4:00,61.48,90.08,97.78,25.69,45.66,6.26,66.5571,13.31,10.04,12.32,86.6
5/5/2020 21:30,62.49,91.83,99.15,26.19,46.7972,6.495,66.89,13.7055,10.47,12.37,86.6
5/5/2020 22:00,62.125,91.62,99.4,25.99,46.25,6.34,66.89,13.61,10.46,12.37,86.605
5/5/2020 22:30,62.09,91.784,99.62,26.05,46.08,6.3,67.5799,13.57,10.43,12.37,86.61
5/5/2020 23:00,62.23,91.91,100.01,26.13,46.31,6.31,67.5799,13.6,10.5694,12.37,86.6016
5/5/2020 23:30,62.19,92.075,100.095,26.13,46.44,6.37,67.5799,13.6,10.63,12.39,86.5988
6/5/2020 0:00,62.27,91.95,100.16,26.1599,46.45,6.38,67.5799,13.592,10.65,12.41,86.595
6/5/2020 0:30,62.1779,91.975,100.1,26.06,46.286,6.35,67.5799,13.592,10.56,12.42,86.6
6/5/2020 1:00,62.12,92.14,100.33,26.03,46.3803,6.33,67.5799,13.53,10.51,12.4201,86.6
6/5/2020 1:30,62.21,92.27,100.4,26.0462,46.28,6.32,67.5799,13.52,10.475,12.4201,86.5975
6/5/2020 2:00,62.21,92.386,100.535,26.1088,46.3481,6.2702,67.1855,13.52,10.3901,12.4201,86.595
6/5/2020 2:30,62.25,92.47,100.59,26.13,46.3481,6.245,67.1855,13.52,10.365,12.42,86.6
6/5/2020 3:00,61.84,91.63,100,25.91,46,6.16,66.4825,13.4168,10.2301,12.41,86.59
6/5/2020 3:30,61.72,91.32,99.86,25.88,46,6.11,66.4825,13.45,10.3,12.41,86.59
6/5/2020 4:00,61.72,91.32,99.9,25.88,46,6.11,65.8944,13.45,10.3,12.41,86.59
6/5/2020 21:30,61.33,92.19,99.65,25.4673,45.5,5.995,66.77,13.4099,10.28,12.56,86.597
6/5/2020 22:00,61.395,92.14,99.8,25.5027,45.7771,6.1,66.77,13.4099,10.35,12.567,86.6
6/5/2020 22:30,61.53,92.54,100.29,25.58,45.9,6.04,66.77,13.4099,10.4113,12.58,86.61
6/5/2020 23:00,61.19,92.48,100.06,25.37,45.53,5.96,66.77,13.4099,10.4,12.55,86.605
6/5/2020 23:30,61.06,92.49,100.03,25.331,45.61,5.97,66.77,13.4099,10.41,12.58,86.6028
7/5/2020 0:00,61.31,92.59,100.15,25.3,45.7,6.015,66.77,13.1109,10.51,12.58,86.6101
7/5/2020 0:30,61.43,92.71,100.08,25.37,45.83,6.01,66.6,13.142,10.55,12.58,86.62
7/5/2020 1:00,61.34,92.69,100.2,25.34,45.7343,5.955,66.6,13.13,10.5254,12.58,86.61
7/5/2020 1:30,61.46,92.76,100.12,25.43,45.725,6.015,66.8899,13.21,10.6,12.6,86.62
7/5/2020 2:00,61.15,92.53,99.67,25.3,45.5832,5.98,66.8899,13.209,10.56,12.59,86.612
7/5/2020 2:30,61.24,92.53,99.72,25.29,45.5832,6.02,66.8899,13.25,10.5801,12.58,86.6136
7/5/2020 3:00,61.14,92.55,99.61,25.19,45.49,5.9684,66.8899,13.22,10.56,12.62,86.615
7/5/2020 3:30,60.81,92.03,98.99,25.03,45.42,5.93,66.4849,13.17,10.45,12.57,86.62
7/5/2020 4:00,60.87,92.03,98.91,25.03,45.42,5.93,66.4463,13.17,10.45,12.57,86.62
7/5/2020 21:30,61.95,93.66,99.38,25.59,46.35,6.2199,66.4463,13.235,10.79,12.75,86.61
7/5/2020 22:00,61.76,93.45,99.19,25.46,46.14,6.1,66.4463,13.23,10.71,12.76,86.62
7/5/2020 22:30,61.78,93.26,98.96,25.49,46.42,6.09,66.4463,13.34,10.75,12.695,86.64
7/5/2020 23:00,62.09,93.52,99.2,25.53,46.3827,6.15,66.4463,13.3,10.7877,12.695,86.6608
7/5/2020 23:30,62.3,93.79,99.49,25.64,46.6901,6.1661,67.03,13.3,10.845,12.69,86.6631
8/5/2020 0:00,62.27,93.782,99.56,25.58,46.92,6.1926,67.47,13.3831,10.9,12.69,86.67
8/5/2020 0:30,62.02,93.765,99.72,25.56,46.5,6.135,67.355,13.27,10.815,12.68,86.6709
8/5/2020 1:00,61.95,93.809,99.51,25.4966,46.53,6.09,67.3,13.3,10.736,12.69,86.68
8/5/2020 1:30,61.96,93.71,99.29,25.51,46.4411,6.075,67.3,13.21,10.6212,12.68,86.6844
8/5/2020 2:00,61.78,93.54,99.28,25.5,46.2501,6.0932,66.81,13.16,10.65,12.68,86.685
8/5/2020 2:30,61.61,93.53,99.29,25.4,46.19,6.019,66.82,13.05,10.5976,12.69,86.69
8/5/2020 3:00,61.6,93.45,99.17,25.38,46.2,6.01,66.81,13.04,10.61,12.685,86.695
8/5/2020 3:30,61.58,93.41,98.9,25.31,46.33,6.04,66.63,13,10.72,12.67,86.68
8/5/2020 4:00,61.58,93.41,98.9,25.31,46.33,6.04,66.7668,13,10.72,12.67,86.68
8/5/2020 21:30,62.84,94.09,99.42,25.92,47.365,6.2,66.7668,13.26,10.89,12.85,86.6936
8/5/2020 22:00,62.68,94.37,99.43,25.87,47.66,6.23,66.7668,13.26,10.94,12.84,86.705
8/5/2020 22:30,62.64,94.241,99.35,25.85,47.405,6.23,66.7668,13.2,10.91,12.87,86.73
8/5/2020 23:00,62.89,94.32,99.63,25.9327,47.68,6.2479,68.82,13.26,10.9698,12.88,86.71
8/5/2020 23:30,62.83,94.56,99.625,25.89,47.78,6.25,68.82,13.26,10.885,12.86,86.705
9/5/2020 0:00,62.75,94.54,99.7,25.92,47.7232,6.245,68.82,13.26,10.8,12.8523,86.7
9/5/2020 0:30,62.8,94.71,99.625,25.8648,47.855,6.2718,68.82,13.25,10.8275,12.86,86.7
9/5/2020 1:00,62.83,94.4,99.36,25.97,47.79,6.2899,69.1999,13.25,10.83,12.84,86.7001
9/5/2020 1:30,62.735,94.18,99.21,25.9999,47.76,6.3,69.1999,13.2499,10.8001,12.74,86.6917
9/5/2020 2:00,62.85,94.355,99.205,26.05,47.929,6.35,69.1999,13.25,10.82,12.78,86.685
9/5/2020 2:30,62.93,94.38,99.27,26.04,47.965,6.4,69.1999,13.35,10.84,12.81,86.665
9/5/2020 3:00,63.01,94.555,99.33,26.08,48.099,6.395,69.1999,13.35,10.84,12.8,86.65
9/5/2020 3:30,63.11,94.78,99.41,26.1,48.2,6.44,69.17,13.4,10.89,12.87,86.66
9/5/2020 4:00,63.11,94.78,99.41,26.1,48.2,6.44,69.5015,13.4,10.89,12.87,86.66
11/5/2020 21:30,62.08,94.433,99.73,25.47,47.22,6.31,68.42,13.3003,10.7,12.7983,86.655
11/5/2020 22:00,62.02,94.77,99.99,25.49,47.23,6.3,68.42,13.34,10.73,12.79,86.6455
11/5/2020 22:30,62.015,94.83,100.145,25.52,47.3306,6.31,68.42,13.275,10.735,12.76,86.64
11/5/2020 23:00,62.225,95.15,100.26,25.63,47.569,6.305,68.42,13.3718,10.76,12.8,86.62
11/5/2020 23:30,62.23,95.16,100.31,25.68,47.8,6.37,68.42,13.42,10.8704,12.79,86.62
12/5/2020 0:00,62.56,95.282,100.562,25.84,48.035,6.42,68.42,13.42,10.9019,12.82,86.615
12/5/2020 0:30,62.58,95.31,100.85,25.9,47.98,6.415,68.42,13.5,10.92,12.84,86.62
