,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity,UNP US Equity,UPS US Equity,CSX US Equity,FDX US Equity,NSC US Equity,LUV US Equity,DAL US Equity,ODFL US Equity,KSU US Equity,EXPD US Equity,CHRW US Equity,JBHT US Equity,UAL US Equity,AAL US Equity,ALK US Equity
29/4/2020 0:30,64.2801,88.948,100.17,27.0035,47.93,5.7,68.5,12.865,10.5001,12.5899,86.6666,161.67,97.729,66.65,128.82,169.79,29.138,23.984,146.33,134.75,72.28,74.89,106.63,27.0166,10.95,31.01
29/4/2020 1:00,64.325,88.94,100.13,27.02,47.95,5.73,68.5,12.865,10.515,12.59,86.65,161.66,97.995,66.69,128.17,169.93,29.715,24.0701,146.19,134.96,72.185,74.77,106.49,27.19,11.229,31.38
29/4/2020 1:30,64.37,89.03,100.28,27.01,47.9787,5.7283,68.5,12.865,10.49,12.59,86.65,161.48,97.651,66.7,128.11,169.92,29.5,23.9399,146.05,134.73,72.36,74.665,106.73,27.31,11.1798,31.26
29/4/2020 2:00,64.72,89.17,100.25,27.08,48.2349,5.77,69.6229,12.865,10.475,12.59,86.6568,162.07,97.73,66.905,128.41,170.11,30.13,24.62,146.78,135.38,72.39,74.885,107.05,28.01,11.48,31.915
29/4/2020 2:30,64.48,88.86,100.12,27.08,48.0775,5.76,69.75,13.0899,10.52,12.57,86.65,161.15,97.339,66.71,127.89,169.92,29.92,24.46,145.69,134.6,72.11,74.75,106.5,27.9933,11.483,31.85
29/4/2020 3:00,64.58,88.87,100.1,27.131,48,5.7761,69.352,13.03,10.461,12.57,86.65,161.3,97.04,66.78,128.327,169.97,29.82,24.37,145.59,134.46,72.32,74.68,106.34,27.84,11.273,31.65
29/4/2020 3:30,64.28,88.2,99.53,27,47.82,5.76,69.4891,13.0861,10.365,12.53,86.66,161.37,96.44,66.85,127.77,170.65,29.73,24.335,144.49,133.28,71.92,74.01,105.42,27.84,11.26,31.59
29/4/2020 4:00,64.28,88.2,99.53,27,47.82,5.76,69.3189,13.0503,10.365,12.53,86.66,161.36,96.43,66.85,127.74,170.64,29.69,24.34,144.49,133.3,71.92,74.01,105.42,27.84,11.26,31.58
29/4/2020 21:30,65.4,90.765,99.935,27.38,49.6,6.0701,70.44,13.04,10.79,12.63,86.6801,165.11,96.62,68.44,131.24,182.945,30.3056,26.13,147.78,135.8,72.37,70.64,107.3,30.43,12.2914,33.27
29/4/2020 22:00,65.09,91.17,100.17,27.03,49.5773,6.11,70.44,13.56,10.77,12.66,86.68,164.43,95.146,68.28,130.01,183.65,30.36,26.9,146.2,136.34,71.58,69.6,106.14,31.1,12.54,34.01
29/4/2020 22:30,65.31,91.12,99.97,27.1493,49.437,6.2108,70.44,13.75,10.94,12.7,86.677,164.15,94.633,68.19,129.86,182.235,30.9133,27.3539,145.965,135.7,71.23,68.86,105.43,31.29,12.68,34.08
29/4/2020 23:00,65.6,91.28,99.88,27.26,49.5,6.2449,69.09,13.8499,10.94,12.65,86.675,164.38,94.39,68.3,129.74,181.21,30.97,26.975,146.5,135.4,71.55,69.55,105.82,31.18,12.7186,33.6483
29/4/2020 23:30,65.64,91.22,100.37,27.34,49.7169,6.18,69.09,13.7705,10.87,12.645,86.665,164.91,94.9,68.38,129.96,181.504,31.045,26.775,146.98,135.18,71.83,70.505,106.5,30.87,12.575,33.42
30/4/2020 0:00,65.73,91.49,100.585,27.39,49.8,6.18,70.232,13.8099,10.95,12.64,86.67,164.7,95.275,68.33,129.43,180.57,31.25,27.105,147.79,135.95,72.095,70.815,106.31,31.095,12.67,33.71
30/4/2020 0:30,66,91.54,100.59,27.44,49.9,6.23,70.232,13.81,11,12.6312,86.6718,164.86,95.27,68.52,130.67,180.5,31.46,27.42,147.485,136.34,72.1,70.81,106.27,31.475,12.7687,34.32
30/4/2020 1:00,66.0401,91.5,100.61,27.43,50.002,6.21,70.232,13.94,10.953,12.64,86.675,164.99,95.83,68.67,130.44,180.91,31.35,27.37,148.6,136.63,72.37,71.01,106.57,31.4817,12.775,34.24
30/4/2020 1:30,65.6977,91.55,100.6,27.31,49.7301,6.1599,70.232,13.9,10.93,12.64,86.6637,163.73,96,68.4,129.61,179.235,31.12,26.7001,148.6,135.9,72.68,71.99,106.64,30.7501,12.4602,33.7949
30/4/2020 2:00,65.74,91.42,100.46,27.225,49.6481,6.2,70.4323,13.915,10.95,12.64,86.6699,163.79,95.81,68.46,129.84,179.35,31.25,26.945,148.8,135.86,72.38,71.56,106.04,30.85,12.458,33.9
30/4/2020 2:30,65.84,91.76,100.58,27.25,50.0244,6.27,70.4323,13.915,10.93,12.62,86.66,164.2,96.05,68.455,130.18,180.08,31.2533,27.14,149.31,136.17,72.7,72.015,106.58,30.905,12.4651,34.08
30/4/2020 3:00,65.88,92.1,100.89,27.348,49.9032,6.385,70.4323,13.94,10.8825,12.63,86.665,164.47,96.1,68.54,130.3,179.29,31.03,27.04,149.76,136.001,72.89,72.04,106.38,30.73,12.4,33.79
30/4/2020 3:30,65.39,91.82,100.19,27.12,49.73,6.445,70.4323,13.96,10.97,12.6,86.65,163.13,96.15,68.15,129.49,180.33,30.97,27.33,148.61,136.08,72.49,71.26,105.69,31.21,12.63,34.01
30/4/2020 4:00,65.51,91.82,100.19,27.12,49.73,6.445,70.3403,13.96,10.97,12.6,86.65,163.05,96.11,68.15,129.48,180.33,30.97,27.32,148.61,136,72.49,71.26,105.69,31.21,12.63,34
30/4/2020 21:30,64.235,91.76,99.52,26.46,48.71,6.47,69.1,13.6391,10.74,12.4759,86.675,160.62,92.927,66.81,126.368,175.5,31.36,26.96,145.69,133.69,71.3,71.065,102.995,30.4838,12.365,33.1399
30/4/2020 22:00,64.56,91.78,100.16,26.5379,48.6401,6.525,68.7914,13.95,10.81,12.51,86.6701,160.786,93.94,66.78,126.72,174.99,31.38,26.74,147.465,133.81,71.97,71.85,102.67,30.39,12.25,33.05
